universe,cell_id,a_split,a_position,b_split,b_position,protocol_sha256,minimum_total_moves
primary83,b2c26,test,30,test,29,c9d5dad3c7a342f6caa2276452181d7876d728db682591c54feaa1daa677a184,20
primary83,b2c27,train,31,train,28,c86c054128a7cd3415897f7e27aa962d908146698713d6c9489b533d7445a127,20
primary83,b2c28,test,31,test,30,2df7fe41897e6971e9b229a6734d558150e1e58a6e8e437413fe47a8640bb4e3,20
primary83,b2c29,train,32,train,29,0b399365364f466c174479a9559ed1409097156cfac7a671be3c7cba333fcb07,20
primary83,b2c3,test,21,train,30,6850158b73ca4fec0f68fc54e94e5ee2be2e37a778d0864bf55bbae5ed6ee8a8,20
primary83,b2c30,test,32,test,31,371243d9a6b6912861fd82ffbe694f9da5176e7f72c990a66bd5b45d3b8e0ea6,20
primary83,b2c31,train,33,train,31,ecf72241fbe83c6efe51273ef6138c109776d182fd69951ed605162e226d7893,20
primary83,b2c32,test,33,test,32,d54a80d96ec8ab9d3af9f5a616efa89491f4995dc39cca5f40c7a7e027f1d54a,20
primary83,b2c33,train,34,train,32,e30c7205e577da262bd3327e024b9504cfe24165add7ce57b9dc2cc84d5980a2,20
primary83,b2c34,test,34,test,33,c26eb2166c22dca50b3abb4fb01b295c016eb86dceea5b00564d2aa5109736ea,20
primary83,b2c35,train,35,train,33,39c8849b201eef087206a83301ee27425a3004df6b6eae6eeca509ac25292755,20
primary83,b2c36,test,35,test,34,a67f37a14bcddc51323ae01376d9f6fe3808691f0201fdcdec9cfe80d5f54134,20
primary83,b2c37,train,36,train,34,a26d9ee9f7fa59928e5154d31c79308dc04b9f71c13e43c122ac2490b9898d8a,20
primary83,b2c38,test,36,test,35,fa5c864f807041e96de016419aa4025ba9a0c09a388f67427691de37cdedd179,20
primary83,b2c39,train,37,train,35,eb13dec9f01ac6c5a17c77a3e6c3e234cbc30e60924fdcf16f5a2fce89d1031f,20
primary83,b2c4,train,22,train,36,576a205e78357e655fb6f898656d64a7b86b8adad97a7ad3ead076b6b7745ed5,20
primary83,b2c40,test,37,test,36,08688b34a29da711d8f2bf9bbb7de976d133445c758892dba34df0b5c717bdd3,20
primary83,b2c41,train,38,train,37,531302618d06170d2fe74185fe49602df22a92b000b6a585e702ab203da37c4f,20
primary83,b2c42,test,38,test,37,56bdb1d4a749848c539bd4c5e8818be883e966c7e819919a638506e2510d1f77,20
primary83,b2c43,train,39,train,38,4104b695d0a2c28faf85bf8d6d5de7e71bc00ded4df7b1f0cc2840354567ef35,20
primary83,b2c44,test,39,test,38,06397e0fda460c0d36758aea52df517dd4a61db164b5f1b3bbeb80440faabe05,20
primary83,b2c45,train,40,train,39,2b361a396140b5716a9c291e272f1bb039605d52381f18f7827e3f256da0730e,20
primary83,b2c46,test,40,test,39,39fb92b2e0b9adaed8d18c9dc5f1081079d8e132bc6a7bcb5c819af8acfbfb66,20
primary83,b2c47,test,41,test,40,d29abe6a774bde8d26cec4800085196ad588d349a8658b262ee22fc78d8daf5f,20
primary83,b2c5,test,22,test,41,9526e29445c9c0aafc4e4877a6cdb9ec560418f39f6dfedfdf670ed80eaf3049,20
primary83,b2c6,train,23,train,40,44d706e475373c4418245c5c7462aeadf339242f29e673bf7019c31fb0677d86,20
sensitivity84,b1c0,test,0,test,0,0193ff3f2a8220ed9389d2d7e5555a5500f9f37c7eed3ef2f237eed77d98f95d,20
sensitivity84,b1c1,train,0,test,1,0193ff3f2a8220ed9389d2d7e5555a5500f9f37c7eed3ef2f237eed77d98f95d,20
sensitivity84,b1c11,train,4,train,0,6a0854f39e01ed9089f08d48a4c35ff518a730e68579d00e01f32e026a77ccd8,20
sensitivity84,b1c14,test,5,train,1,3f2f94e31b6d58b405e9723d0625cc790506c96b3c08dfecb467a2b9ca1d06c1,20
sensitivity84,b1c15,train,5,train,2,3f2f94e31b6d58b405e9723d0625cc790506c96b3c08dfecb467a2b9ca1d06c1,20
sensitivity84,b1c16,test,6,train,3,bfbcb93641d5f8f5117f4691d7bffa03b2801d92fa738bd24c301f60c622a28e,20
sensitivity84,b1c17,train,6,train,4,bfbcb93641d5f8f5117f4691d7bffa03b2801d92fa738bd24c301f60c622a28e,20
sensitivity84,b1c18,test,7,train,5,7fb1a5f17d584ecab948661f10dcc517ea4a8cb3f8c9328cb3978dbd6aa60033,20
sensitivity84,b1c19,train,7,train,6,7fb1a5f17d584ecab948661f10dcc517ea4a8cb3f8c9328cb3978dbd6aa60033,20
sensitivity84,b1c2,test,1,test,2,0193ff3f2a8220ed9389d2d7e5555a5500f9f37c7eed3ef2f237eed77d98f95d,20
sensitivity84,b1c20,test,8,train,7,8e3974149efe8178e1b015e708537cd14c12defc61c70d503bc664b37b3c1664,20
sensitivity84,b1c21,train,8,train,8,8e3974149efe8178e1b015e708537cd14c12defc61c70d503bc664b37b3c1664,20
sensitivity84,b1c23,test,9,test,3,68145c7d3e34c571462e4b0fa15739509e3d5d08fb6c8bd0392c5014863cc427,20
sensitivity84,b1c24,train,9,train,9,9a3171382824d4d47bfcddccf8544623f8b3d8e68281e0b77f443082f770a51e,20
sensitivity84,b1c25,test,10,train,10,9a3171382824d4d47bfcddccf8544623f8b3d8e68281e0b77f443082f770a51e,20
sensitivity84,b1c26,train,10,train,11,2b5ec8ec173ad6c2f50b2ef54ddd4b3d0f87f82769281254ce0363042adef6fa,20
sensitivity84,b1c27,test,11,train,12,2b5ec8ec173ad6c2f50b2ef54ddd4b3d0f87f82769281254ce0363042adef6fa,20
sensitivity84,b1c28,train,11,train,13,a9651309ba48eedae64a525abce2828b02209cf31d8f0aab5eb9771b6b233b23,20
sensitivity84,b1c29,test,12,train,14,a9651309ba48eedae64a525abce2828b02209cf31d8f0aab5eb9771b6b233b23,20
sensitivity84,b1c3,train,1,train,15,86150dc23806b8057848434b3500b222d1bff476d4e2fdcef6a159369ca4c980,20
sensitivity84,b1c30,train,12,train,16,2ecc46aabd28470861083057b77d7805b39ea6c3f15c56a20fa78b01f616694a,20
sensitivity84,b1c31,test,13,train,17,2ecc46aabd28470861083057b77d7805b39ea6c3f15c56a20fa78b01f616694a,20
sensitivity84,b1c32,train,13,test,4,d29abe6a774bde8d26cec4800085196ad588d349a8658b262ee22fc78d8daf5f,20
sensitivity84,b1c33,test,14,test,5,d29abe6a774bde8d26cec4800085196ad588d349a8658b262ee22fc78d8daf5f,20
sensitivity84,b1c34,train,14,test,6,af3ba5ce45bfc446c92f6b426ffee2515d0c6f5582c4c1229d4968e1a8c6ee3b,20
sensitivity84,b1c35,test,15,test,7,af3ba5ce45bfc446c92f6b426ffee2515d0c6f5582c4c1229d4968e1a8c6ee3b,20
sensitivity84,b1c36,train,15,test,8,008b01e80cae6d54fa3f5aa5fcb969351df863ae1298e80eba8eec84b6801ce5,20
sensitivity84,b1c37,test,16,test,9,008b01e80cae6d54fa3f5aa5fcb969351df863ae1298e80eba8eec84b6801ce5,20
sensitivity84,b1c38,train,16,test,10,ad10bf7d9c4401ada313ae10b2cf5bfb989d012553153b3c868ba69242aede1f,20
sensitivity84,b1c39,test,17,test,11,ad10bf7d9c4401ada313ae10b2cf5bfb989d012553153b3c868ba69242aede1f,20
sensitivity84,b1c4,test,2,train,18,86150dc23806b8057848434b3500b222d1bff476d4e2fdcef6a159369ca4c980,20
sensitivity84,b1c40,train,17,test,12,9d6a58a7bcd247c27561145ce836d2fb3026498ad406e5975b00f90afbf1ed13,20
sensitivity84,b1c41,test,18,test,13,9d6a58a7bcd247c27561145ce836d2fb3026498ad406e5975b00f90afbf1ed13,20
sensitivity84,b1c42,train,18,test,14,3338ba7bd154d99946797c9294db04abc97468f52871496fafbf05c6c0140582,20
sensitivity84,b1c43,test,19,test,15,3338ba7bd154d99946797c9294db04abc97468f52871496fafbf05c6c0140582,20
sensitivity84,b1c44,train,19,test,16,292a20f59af8a3e856a46a865f2d020af4c49339f28eaf3cc2a24065975e31b0,20
sensitivity84,b1c45,test,20,test,17,292a20f59af8a3e856a46a865f2d020af4c49339f28eaf3cc2a24065975e31b0,20
sensitivity84,b1c5,train,2,train,19,acadfd378f365485f6d6f67504b14e95323bc4c53972ac39b9c1359f8d04c65d,20
sensitivity84,b1c6,test,3,test,18,c9d5dad3c7a342f6caa2276452181d7876d728db682591c54feaa1daa677a184,20
sensitivity84,b1c7,train,3,test,19,c9d5dad3c7a342f6caa2276452181d7876d728db682591c54feaa1daa677a184,20
sensitivity84,b1c9,test,4,test,20,8a9c177517eae90651346d20f129e96658b85627ad195b0601610422dde189fe,20
sensitivity84,b2c0,train,20,train,20,16e302b1d8231ebf98c00f6ca027e64bbfc36058d918bd3f10c3bf39c812e5f7,20
sensitivity84,b2c1,test,21,train,21,f7842147a3cbdb593581091c9646d03157b2863f4dd50158ecfdbd4b60266d36,20
sensitivity84,b2c10,test,24,test,21,871aaa1dd6ff798c96800d8567980d7f94a668e131e438eae3e96f70921ffc4d,20
sensitivity84,b2c11,train,24,train,22,38faa40fabfaa09d2f1d91cecc1f696ff788cb45d180663b9b62efa9c2fde448,20
sensitivity84,b2c12,test,25,test,22,f6d882cee85ce183a98b90042f4d04d2520bebc24e1c7f727291a3166161f039,20
sensitivity84,b2c13,train,25,train,23,dbc0f40a914c8191cd7ca146c0bfe72ebbea0097d1078bcdafd8ec1a9d3bb912,20
sensitivity84,b2c14,test,26,test,23,63b9b928c07570d77217e07dffb0ed8e6c3cac58328c78e9b009c8313ed6558a,20
sensitivity84,b2c17,train,26,train,24,7d07432919ace57f28e4b4975f8f3b860678c0cd0840edb6f430a946e46d1b27,20
sensitivity84,b2c18,test,27,test,24,33da05641982491dc20ba3d289b3921f6e4ab7f8d1c4d231d03697e55dc3498b,20
sensitivity84,b2c19,train,27,train,25,84a94467fcc00d9321f2b0e08fe138e796446e41d58517dd5c2d938faa2bfe43,20
sensitivity84,b2c2,train,21,train,26,fe89832537dfe8d089e63b9bc8252c69d3c05dfdf15857a65dbc05509e220655,20
sensitivity84,b2c20,test,28,test,25,a0efc0fac88a63aca80a4531c9446dc29ab8caba47f19cf1396dd036164723f2,20
sensitivity84,b2c21,train,28,train,27,d2155beb64adbd482c2c22af92ea085e6b4bf0620e5fa7f0fdf518921713a798,20
sensitivity84,b2c22,test,29,test,26,a3c2b7e38e6462eb17974a69ec9a5a073402fdb2a7122b27bea867c6703d0bfd,20
sensitivity84,b2c23,train,29,train,28,46ef1a8c1328999a574228309a7c856a284cb71e90ddeabfc916aa76721ea4e8,20
sensitivity84,b2c24,test,30,test,27,c9d5dad3c7a342f6caa2276452181d7876d728db682591c54feaa1daa677a184,20
sensitivity84,b2c25,train,30,test,28,c9d5dad3c7a342f6caa2276452181d7876d728db682591c54feaa1daa677a184,20
sensitivity84,b2c26,test,31,test,29,c9d5dad3c7a342f6caa2276452181d7876d728db682591c54feaa1daa677a184,20
sensitivity84,b2c27,train,31,train,29,c86c054128a7cd3415897f7e27aa962d908146698713d6c9489b533d7445a127,20
sensitivity84,b2c28,test,32,test,30,2df7fe41897e6971e9b229a6734d558150e1e58a6e8e437413fe47a8640bb4e3,20
sensitivity84,b2c29,train,32,train,30,0b399365364f466c174479a9559ed1409097156cfac7a671be3c7cba333fcb07,20
sensitivity84,b2c3,test,22,test,31,6850158b73ca4fec0f68fc54e94e5ee2be2e37a778d0864bf55bbae5ed6ee8a8,20
sensitivity84,b2c30,test,33,test,32,371243d9a6b6912861fd82ffbe694f9da5176e7f72c990a66bd5b45d3b8e0ea6,20
sensitivity84,b2c31,train,33,train,31,ecf72241fbe83c6efe51273ef6138c109776d182fd69951ed605162e226d7893,20
sensitivity84,b2c32,test,34,test,33,d54a80d96ec8ab9d3af9f5a616efa89491f4995dc39cca5f40c7a7e027f1d54a,20
sensitivity84,b2c33,train,34,train,32,e30c7205e577da262bd3327e024b9504cfe24165add7ce57b9dc2cc84d5980a2,20
sensitivity84,b2c34,test,35,test,34,c26eb2166c22dca50b3abb4fb01b295c016eb86dceea5b00564d2aa5109736ea,20
sensitivity84,b2c35,train,35,train,33,39c8849b201eef087206a83301ee27425a3004df6b6eae6eeca509ac25292755,20
sensitivity84,b2c36,test,36,test,35,a67f37a14bcddc51323ae01376d9f6fe3808691f0201fdcdec9cfe80d5f54134,20
sensitivity84,b2c37,train,36,train,34,a26d9ee9f7fa59928e5154d31c79308dc04b9f71c13e43c122ac2490b9898d8a,20
sensitivity84,b2c38,test,37,test,36,fa5c864f807041e96de016419aa4025ba9a0c09a388f67427691de37cdedd179,20
sensitivity84,b2c39,train,37,train,35,eb13dec9f01ac6c5a17c77a3e6c3e234cbc30e60924fdcf16f5a2fce89d1031f,20
sensitivity84,b2c4,train,22,train,36,576a205e78357e655fb6f898656d64a7b86b8adad97a7ad3ead076b6b7745ed5,20
sensitivity84,b2c40,test,38,test,37,08688b34a29da711d8f2bf9bbb7de976d133445c758892dba34df0b5c717bdd3,20
sensitivity84,b2c41,train,38,train,37,531302618d06170d2fe74185fe49602df22a92b000b6a585e702ab203da37c4f,20
sensitivity84,b2c42,test,39,test,38,56bdb1d4a749848c539bd4c5e8818be883e966c7e819919a638506e2510d1f77,20
sensitivity84,b2c43,train,39,train,38,4104b695d0a2c28faf85bf8d6d5de7e71bc00ded4df7b1f0cc2840354567ef35,20
sensitivity84,b2c44,test,40,test,39,06397e0fda460c0d36758aea52df517dd4a61db164b5f1b3bbeb80440faabe05,20
sensitivity84,b2c45,train,40,train,39,2b361a396140b5716a9c291e272f1bb039605d52381f18f7827e3f256da0730e,20
sensitivity84,b2c46,test,41,test,40,39fb92b2e0b9adaed8d18c9dc5f1081079d8e132bc6a7bcb5c819af8acfbfb66,20
sensitivity84,b2c47,test,42,test,41,d29abe6a774bde8d26cec4800085196ad588d349a8658b262ee22fc78d8daf5f,20
sensitivity84,b2c5,test,23,test,42,9526e29445c9c0aafc4e4877a6cdb9ec560418f39f6dfedfdf670ed80eaf3049,20
sensitivity84,b2c6,train,23,train,40,44d706e475373c4418245c5c7462aeadf339242f29e673bf7019c31fb0677d86,20
